class,comment,contract,mutant,SLOC,line,operator,status,notes,details
2,1,,,,,,,,'Base=Regression_*/DBToken_5287BE.dir; for i in 23 38 18 4 37 12 43 34 26 17 28 49 14 35 6 25 45 47 24 1 7 29 27 19 32 10 20 2 40 15 30 46 11 3 9 13 31 41 44 50 33 21 8 5 39 36 48 16 42 22; do vi $Base/contracts/*_${i}.*mut $Base/*_${i}.*diff; done'
2,0,DBToken_5287BE,23,367,9,LR_I,Not killed,New test needed,		'replacing 0 by 1 in ''if (a==0)'' in the enclosing method mul does not create wrong outputs with the current test because even though mul is called, it is not called with first argument 0 or 1.'
2,0,DBToken_5287BE,38,367,80,ESD,Killed by output,Ok,			'replacing ''totalSupply = initialSupply * 10 ** uint256(decimals)'' by true leaves the initial token supply un-initialised, which causes many wrong outputs to be produced.'
2,0,DBToken_5287BE,18,367,82,ITSCR,Killed by output,Ok,			'replacing name by symbol in ''name = tokenName''. rest as #38.'
2,0,DBToken_5287BE,4,367,83,ITSCR,Killed by output,Ok,			'replacing tokenSymbol by tokenName in ''symbol = tokenSymbol''. rest as #38.'
2,0,DBToken_5287BE,37,367,89,VDTSCS,Not killed,New test needed,		'swapping _from and _to in ''function _transfer(address _from, address _to, uint _value)'' should cause havoc but in DBToken overwrites the _transfer and the transfer method so that DBTBase._transfer is never called.'
2,0,DBToken_5287BE,12,367,91,ITSCR,Not killed,New test needed,		'replacing require by assert in ''require(_to != 0x0)''. Rest as #37.'
2,0,DBToken_5287BE,43,367,97,ITSCR,Not killed,New test needed,		'replacing the second _to by _from in ''balanceOf[_to] = balanceOf[_to].add(_value)''. Rest as #37.'
2,0,DBToken_5287BE,34,367,98,ITSCR,Not killed,New test needed,		'replacing _from by _to in ''emit Transfer(_from, _to, _value)''. rest as #37.'
2,0,DBToken_5287BE,26,367,111,TRD,Killed by output,Ok,			'replacing public by private in ''function transfer(address _to, uint256 _value) public'' blocks outside access to the transfer method.'
2,0,DBToken_5287BE,17,367,153,TRD,Not killed,New test needed,		'replacing public by internal in ''function burn(uint256 _value) public'' has no effect because the current test never calls the enclosing method Burn.'
2,0,DBToken_5287BE,28,367,154,RAR,Not killed,New test needed,		'replacing msg.sender by tx.origin in ''balanceOf[msg.sender] = balanceOf[msg.sender].sub(_value)''. rest as #17.'
2,0,DBToken_5287BE,49,367,157,JSRD,Not killed,New test needed,		'replacing ''return true'' by throw. rest as #17.'
2,0,DBToken_5287BE,14,367,172,AOR,Not killed,New test needed,		'replacing = by *= in ''allowance[_from][msg.sender] = allowance[_from][msg.sender].sub(_value)'' has no effect because the current test never calls the enclosing method BurnFrom.'
2,0,DBToken_5287BE,35,367,175,JSRD,Not killed,New test needed,		'replacing ''return true'' by throw. Rest as #14.'
2,0,DBToken_5287BE,6,367,192,VDTSCS,Not killed,Semantically equivalent,	'swapping balancefrozen and balancefronzenTime creates a semantically equivalent mutant as the two objects have the same type and properties. Declaring one before the other makes no difference.'
