class,comment,contract,mutant,SLOC,line,operator,status,notes,details
4,1,,,,,,,,"Base=Regression_*/MultiSigWallet_fbd121.dir; for i in 26 41 49 37 21 44 48 16 1 27 31 24 29 5 22 7 12 35 9 34 25 3 15 19 50 6 30 4 45 23 42 13 14 40 8 32 33 18 39 47 36 43 46 11 2 28 10 38 17 20; do vi $Base/contracts/*_${i}.*mut $Base/*_${i}.*diff; done"
4,0,MultiSigWallet_fbd121,26,366,8,TRD,Killed by output,Ok,replacing public by constant in 'uint constant public MAX_OWNER_COUNT = 50' suppressed the getter, so that the call to the getter fails.
4,0,MultiSigWallet_fbd121,41,366,48,JSRD,Not killed,New test needed,replacing throw by true in the modifier ownerExists that is never called with an invalid owner is not caught by the current test.
4,0,MultiSigWallet_fbd121,49,366,59,ITSCR,Not killed,New test needed,replacing transactionId by required in 'if (!confirmations[transactionId][owner])' in the modifier confirmed that is never called by the current test.
4,0,MultiSigWallet_fbd121,37,366,59,UORD,Not killed,New test needed,removing ! in 'if (!confirmations[transactionId][owner])'. Rest as #37.
4,0,MultiSigWallet_fbd121,21,366,71,ITSCR,Killed by gas,Ok,replacing transactionId by transactionCount in 'if (transactions[transactionId].executed)' consumers more gas that was budgeted for in transactions 4-7.
4,0,MultiSigWallet_fbd121,44,366,77,BOR,Not killed,New test needed,replacing == by < in 'if (_address == 0)' will never execute the then branch because an address is never negative.
4,0,MultiSigWallet_fbd121,48,366,95,BOR,Killed by output,Ok,replacing > by == in 'if (msg.value > 0)' blocks all normal (i.e. non-zero) deposits.
4,0,MultiSigWallet_fbd121,16,366,107,ITSCR,Killed by output,Ok,replacing  _required by i in 'validRequirement(_owners.length, _required)' causes the constructor to throw an exception.
4,0,MultiSigWallet_fbd121,1,366,109,ESD,Killed by output,Ok,replacing i++ by true in 'for (uint i=0; i<_owners.length; i++)' causes an end-less loop in the constructor, which therefore runs out of gas.
4,0,MultiSigWallet_fbd121,27,366,109,ITSCR,Killed by output,Ok,replacing i by _required in 'for (uint i=0; i<_owners.length; i++)'. rest as #1.
4,0,MultiSigWallet_fbd121,31,366,115,AOR,Not killed,Semantically equivalent,replacing = by += in 'required = _required' generates a semantically equivalent mutant.
4,0,MultiSigWallet_fbd121,24,366,128,ESD,Not killed,New test needed,replacing 'owners.push(owner)' by true omits storage of relevant data but the enclosing method addOwner is never called by the current test.
4,0,MultiSigWallet_fbd121,29,366,129,ESD,Not killed,New test needed,replacing 'OwnerAddition(owner)' by true suppresses an event. rest as #24.
4,0,MultiSigWallet_fbd121,5,366,140,BOR,Not killed,Semantically equivalent,replacing < by != in 'for (uint i=0; i<owners.length - 1; i++)' creates a semantically equivalent mutation.
4,0,MultiSigWallet_fbd121,22,366,146,BOR,Not killed,New test needed,replacing > by <= in 'if (required > owners.length)' should have an effect but the enclosing method is never called in the current test.
4,0,MultiSigWallet_fbd121,7,366,147,ITSCR,Not killed,New test needed,replacing changeRequirement by confirmTransaction in 'changeRequirement(owners.length)'. rest as #22.
4,0,MultiSigWallet_fbd121,12,366,157,ITSCR,Not killed,New test needed,replacing owner by newOwner in 'ownerExists(owner)' should have an effect but the enclosing method replaceOwner is never called by the current test.
4,0,MultiSigWallet_fbd121,35,366,160,UORD,Not killed,New test needed,replacing ++ by -- in 'for (uint i=0; i<owners.length; i++)' should cause an end-less loop and therefore an out of gas exception. Rest as #12.
4,0,MultiSigWallet_fbd121,9,366,165,ESD,Not killed,New test needed,replacing 'isOwner[owner] = false' by true suppressing storing valuable data. rest as @#12.
4,0,MultiSigWallet_fbd121,34,366,167,ITSCR,Not killed,New test needed,replacing OwnerRemoval by OwnerAddition in 'OwnerRemoval(owner)' should emit the wrong event. rest as #12.
4,0,MultiSigWallet_fbd121,25,366,168,ITSCR,Not killed,New test needed,replacing OwnerAddition by OwnerRemoval in 'OwnerAddition(newOwner)'. rest as #34.
4,0,MultiSigWallet_fbd121,3,366,178,AOR,Not killed,New test needed,replacing = by -= in 'required = _required' stores the wrong data but the enclosing function changeRequirement is never called by the current test.
4,0,MultiSigWallet_fbd121,15,366,179,ESD,Not killed,New test needed,replacing 'RequirementChange(_required)' by true suppressed the emission of an event. rest as #3.
4,0,MultiSigWallet_fbd121,19,366,200,ITSCR,Not killed,New test needed,replacing transactionExists by notExecuted in 'transactionExists(transactionId)' in the enclosing method confirmTransaction is not detected because the executed flag is set after the modifier notExecuted has run.
4,0,MultiSigWallet_fbd121,50,366,205,ESD,Killed by output,Ok,replacing 'executeTransaction(transactionId)' by true causes the current transaction to remain un-executed.
4,0,MultiSigWallet_fbd121,6,366,205,ITSCR,Killed by output,Ok,replacing executeTransaction by confirmTransaction in 'executeTransaction(transactionId)'. rest as #50.
4,0,MultiSigWallet_fbd121,30,366,217,ITSCR,Not killed,New test needed,replacing Revocation by Confirmation in 'Revocation(msg.sender, transactionId)' suppresses an event from a method revokeConfirmation that is never executed by the current test.
4,0,MultiSigWallet_fbd121,4,366,224,ITSCR,Not killed,Semantically equivalent,replacing notExecuted by transactionExists in 'notExecuted(transactionId)' leads to a semantically equivalent mutation because for every transaction there is verification that it exists before it is executed.
