class,comment,contract,mutant,SLOC,line,operator,status,notes,details
5,1,,,,,,,,"Base=Regression_*/mall_7f683d.dir; for i in 39 12 1 30 29 6 41 47 35 34 13 14 49 36 26 28 46 10 17 22 7 38 42 11 5 44 8 31 32 48 27 40 50 19 20 33 43 21 4 23 25 18 3 2 24 9 37 45 15 16; do vi $Base/contracts/*_${i}.*mut $Base/*_${i}.*diff; done,,,,,,,"
5,0,mall_7f683d,1,84,12,RAR,Killed by output,Error found,"replacing msg.sender by address(0) in 'owner = msg.sender' should block all method calls. However at line 74, in the definition of the method getCommodityInfoById the modifier onlyOwner is missing; the method can therefore still be called. This is an error found by mutation."
5,0,mall_7f683d,2,84,74,AOR,Not killed,Semantically equivalent,"replacing = by += in 'seedBlock = commodities[commodityIndex].seedBlock' leads to a semantically equivalent contract, as seedBlock is a return variable (initialized to 0)."
5,0,mall_7f683d,3,84,73,LR_I,Killed by output,Ok,"replacing 1 by 0 in 'require(commodityIndex >= 1)' causes a call to getCommodityInfoById with commodityId=0 to succeed whereas it should fail."
5,0,mall_7f683d,4,84,70,VDTSCS,Killed by output,Ok,"swapping commodityIndex and seedBlock in 'function getCommodityInfoById(uint commodityId) public view returns (uint commodityIndex, uint seedBlock, string MD5)' initializes commodityIndex to 0 and causes an array out of bounds exception."
5,0,mall_7f683d,5,84,60,ITSCR,Killed by output,Ok,"replacing commodityIndex by seedBlock in 'require(commodityIndex >= 1)' forces an exception because seedBlock is initialized to 0."
5,0,mall_7f683d,6,84,21,ESD,Killed by output,Ok,"replacing 'owner = newOwner' by true leaves the owner of the contract what it is so that after the call to transferOwnership the onlyOwner modifier will start to throw exceptions."
5,0,mall_7f683d,7,84,51,ITSCR,Killed by output,Ok,"replacing seedBlock by commodityIndex in 'commodities[commodityIndex] = Commodity(commodityId, seedBlock, MD5)' stores the wrong data, which when queried again causes the output to be different from what is expected."
5,0,mall_7f683d,8,84,60,LR_I,Killed by output,Ok,"replacing 1 by 0 in 'require(commodityIndex >= 1)' causes a call to getCommodityInfoByIndex with commodityIndex=0 to succeed whereas it should fail."
5,0,mall_7f683d,9,84,74,ESD,Killed by output,Ok,"replacing 'seedBlock = commodities[commodityIndex].seedBlock' by true causes seedBlock to be always 0, hence the output is different from what is expected."
5,0,mall_7f683d,10,84,50,ESD,Killed by output,Ok,"replacing 'indexMap[commodityId] = commodityIndex' by true leaves data initialised to 0 by default, which when queried again causes the output to be different from what is expected."
5,0,mall_7f683d,11,84,59,ITSCR,Killed by output,Ok,"replacing commodityIndex by seedBlock in 'require(commodityIndex < commodityNum)' causes a call to getCommodityInfoByIndex with commodityId=0 to succeed whereas it should fail."
5,0,mall_7f683d,12,84,11,TRD,Not killed,Semantically equivalent,"replacing public by internal in 'constructor() public' in a constructor that should have been internal in the first place improves the security of the contract."
